"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"3 Swarms - 1"
"08/19/2022 03:16:02:617 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-30","30"
"[run number]","nTrees","spawnChance","randomMap?","spawnRate","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","witherRate","startingCount","initFood","showPA","antWars","nEnergy","week","nFlowers","nBushes","[step]","count workers with [scent = 1]","count workers with [scent = 2]","count workers with [scent = 3]","food1Total","food2Total","food3Total"
"148","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","36","270","100","50","0","2000","35","20","23","1910","1165","1085"
"154","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","48","270","80","50","0","1616","21","17","9","1085","880","825"
"157","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","48","280","80","50","0","1452","39","9","19","1500","570","685"
"152","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","36","280","100","50","0","2000","27","26","26","1295","1155","1395"
"158","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","48","280","80","50","0","1600","18","6","17","640","445","715"
"156","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","48","270","100","50","0","2000","22","22","29","1370","1340","1815"
"155","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","48","270","100","50","0","2000","15","13","18","885","590","1080"
"159","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","48","280","100","50","0","2000","30","21","16","1355","900","760"
"160","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","48","280","100","50","0","1983","27","9","19","1145","615","775"
"161","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","12","270","80","50","0","1590","7","20","30","825","975","1240"
"165","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","12","280","80","50","0","1943","38","9","26","1820","770","1095"
"162","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","12","270","80","50","0","1751","40","16","9","1785","1065","975"
"164","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","12","270","100","50","0","2000","34","30","14","1935","1385","1005"
"166","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","12","280","80","50","0","1904","38","18","9","1940","1005","625"
"163","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","12","270","100","50","0","2000","43","40","22","2005","2330","1230"
"167","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","12","280","100","50","0","1849","40","9","25","1895","690","855"
"170","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","24","270","80","50","0","1639","31","41","9","1230","1495","1145"
"169","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","24","270","80","50","0","2000","30","14","21","2360","1010","1335"
"172","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","24","270","100","50","0","1851","36","32","9","1515","1205","735"
"168","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","12","280","100","50","0","2000","19","26","34","1170","1140","1550"
"173","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","24","280","80","50","0","1870","20","28","9","1205","1230","430"
"171","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","24","270","100","50","0","2000","18","37","36","955","1760","1615"
"174","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","24","280","80","50","0","1973","13","15","9","765","925","415"
"179","0","15","false","2","150","220","false","25","false","6","18","5","45","500","false","36","270","100","50","0","1654","30","27","9","1005","1145","685"
