"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"Experiment2"
"08/19/2022 19:36:21:419 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","spawnChance","spawnRate","witherRate","nutrition","nEnergy","week","initFood","startingCount","nAntlions","nSpiders","spiderStability","antWars","nTrees","nFlowers","nBushes","nPrey","showPS","showPF","showPA","[step]","count workers","food1Total","storedFoodTEST","spiderKills","lionKills","energyKills"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","57","43","95","479","0","0","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","56","37","120","503","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","58","43","100","479","0","0","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","52","38","105","502","0","4","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","57","37","120","508","0","4","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","53","38","105","502","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","59","43","100","479","0","0","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","60","43","100","479","0","0","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","54","37","105","502","0","5","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","58","37","125","511","0","4","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","55","37","105","502","0","5","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","59","37","125","511","0","4","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","56","37","105","502","0","5","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","60","37","125","511","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","61","43","105","479","0","0","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","57","36","105","502","0","6","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","61","37","125","511","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","62","43","105","479","0","0","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","58","34","105","502","1","7","0"
"3","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","62","37","135","511","0","4","0"
"2","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","63","43","105","479","0","0","0"
"1","20","2.5","5","230","280","85","500","40","14","12","150","35","25","50","15","25","false","false","false","59","33","105","502","1","8","0"
